2018-07-03 14:12:46 INFO  AllureLogger:15 - Logged to allure: Select car brand
2018-07-03 14:12:47 INFO  AllureLogger:15 - Logged to allure: Select car model
2018-07-03 14:12:48 INFO  AllureLogger:15 - Logged to allure: Select region
2018-07-03 14:12:48 INFO  MainPageSearchBu:165 - Select year from
2018-07-03 14:12:48 INFO  AllureLogger:15 - Logged to allure: Select year to
2018-07-03 14:12:48 INFO  MainPageSearchBu:173 - Select price from
2018-07-03 14:12:48 INFO  AllureLogger:15 - Logged to allure: Select price to
2018-07-03 14:12:54 INFO  AllureLogger:15 - Logged to allure: Click on submit button
2018-07-03 14:12:54 INFO  TestsAutoRia:60 -  The search page was successfully load
2018-07-03 14:12:54 INFO  TestsAutoRia:28 - Screenshot have been added to Allure Report.
2018-07-03 14:12:57 INFO  TestsAutoRia:48 - Close Auto Ria
